test_no,test_date,test_family,impact_direction,load_cell_classification_id,source_vehicle_id,source_vehicle_no,participant_kind,participant_kind_source,vin,make,model,model_year,body_type,engine_type,engine_displacement_l,transmission,vehicle_speed_kph,vehicle_test_weight_kg,curb_weight_kg,vehicle_length_mm,vehicle_width_mm,wheelbase_mm,vax_crush_distance_mm,vehicle_cg_mm,vehicle_orientation_deg,source_row_hash
7418,2011-06-21,side,side,side_pole_load_cell_8,149,1,subject_vehicle,single_vehicle_inferred_subject,JN1AZ0CP8BT002473,NISSAN,LEAF,2011,FIVE DOOR HATCHBACK,ELECTRIC MOTOR,0.0,AUTOMATIC - FRONT WHEEL DRIVE,32.5,1626.0,1529.0,4461.0,1770.0,2700.0,322.0,1214.0,0.0,18d6fa8634a7c4606e6a05ebb7c5835bf00585533d575ed3a5e348437730ae79
7438,2011-08-08,side,side,side_pole_load_cell_8,207,1,subject_vehicle,single_vehicle_inferred_subject,5XYKT3A17CG204379,KIA,SORENTO,2012,UTILITY VEHICLE,4 CYLINDER TRANSVERSE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,32.0,1792.0,1666.0,4675.0,1860.0,2710.0,414.0,1228.0,0.0,e457fb8f7df64dcf6717f264cd848308c5535819144cef6befd24f3b9b16dd50
7455,2011-09-26,side,side,side_pole_load_cell_8,253,1,subject_vehicle,single_vehicle_inferred_subject,2C4RC1BG0CR107123,CHRYSLER,TOWN AND COUNTRY,2012,MINIVAN,V6 TRANSVERSE FRONT,3.6,AUTOMATIC - FRONT WHEEL DRIVE,32.1,2182.0,2090.0,5181.0,1970.0,3080.0,389.0,1430.0,0.0,4af50b2fb41ab91c31683ec41a4a83b27fa908cb6af8c61d4d08a7c29d2f7be6
7462,2011-10-03,side,side,side_pole_load_cell_8,260,1,subject_vehicle,single_vehicle_inferred_subject,1FAHP3E2XCL222466,FORD,FOCUS,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.0,MANUAL - FRONT WHEEL DRIVE,31.53,1407.0,1329.0,4495.0,1989.0,2649.0,416.0,1234.0,0.0,62bfe8e2cb67390c1da08be28d71a3a41b482f944cef39edd974f9c68d606aeb
7463,2011-10-04,side,side,side_pole_load_cell_8,262,1,subject_vehicle,single_vehicle_inferred_subject,1ZVBP8AM4C5245599,FORD,MUSTANG,2012,TWO DOOR COUPE,V6 INLINE FRONT,3.7,MANUAL - REAR WHEEL DRIVE,31.6,1654.0,1568.0,4559.0,1835.0,2726.0,501.0,1298.0,0.0,4770c918dc0ddcd86249b408f08c478147b3427fda414e37fac5f2b094c9dc52
7466,2011-10-04,side,side,side_pole_load_cell_8,263,1,subject_vehicle,single_vehicle_inferred_subject,1C3CDZEG2CN112533,DODGE,AVENGER,2012,FOUR DOOR SEDAN,V6 TRANSVERSE FRONT,3.6,AUTOMATIC - FRONT WHEEL DRIVE,32.0,1735.0,1637.0,4895.0,1822.0,2765.0,432.0,1125.0,0.0,1e3508da712f32663ed9c171e4bac1b77c38bbef94cf2f8809162e5fe8d4ddbb
7472,2011-10-06,side,side,side_pole_load_cell_8,271,1,subject_vehicle,single_vehicle_inferred_subject,3C4PDCAB1CT141459,DODGE,JOURNEY,2012,UTILITY VEHICLE,4 CYLINDER TRANSVERSE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,31.9,1885.0,1788.0,4895.0,1830.0,2900.0,398.0,1342.0,0.0,ae288d7ceac50e7f01b07982aca18a4dadeb6eb53a3e0d92059b5a24f2d0e1dd
7474,2011-10-10,side,side,side_pole_load_cell_8,274,1,subject_vehicle,single_vehicle_inferred_subject,1VWAP7A37CC006976,VOLKSWAGEN,PASSAT,2012,FOUR DOOR SEDAN,5 CYLINDER TRANSVERSE FRONT,2.5,MANUAL - FRONT WHEEL DRIVE,32.1,1668.0,1456.0,4866.0,1790.0,2805.0,377.0,1342.0,0.0,88ff29a1d4b47e574e600c116b2b18713579b55a2d72a9fe360da024d5ebcd30
7477,2011-10-12,side,side,side_pole_load_cell_8,286,1,subject_vehicle,single_vehicle_inferred_subject,1C3CCBAB8CN106241,CHRYSLER,200,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,31.96,1632.0,1545.0,4870.0,1802.0,2763.0,392.0,1103.0,0.0,8a73acc45e07cdaf9ec6f449ad84ebc585192c5b2c192a50f6aaa28d9274b4c6
7485,2011-10-19,side,side,side_pole_load_cell_8,294,1,subject_vehicle,single_vehicle_inferred_subject,KM8JU3AC1CU365508,HYUNDAI,TUCSON,2012,UTILITY VEHICLE,4 CYLINDER TRANSVERSE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,32.46,1609.0,1487.0,4307.0,1801.0,2644.0,484.0,1147.0,0.0,b38c80f7786c79e02ffe074f50bfff0f0f8f6e88ecaf231d044467a33a01c95f
