category,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
high_C_max_norm,436,7738,526,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16444444444444445,0.15611387289958717,10LPAW3,297.0,296.0,294.0,high_C_max_norm
high_C_max_norm,444,7745,537,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.196,0.15611387289958717,10LPAW3,297.0,392.0,357.0,high_C_max_norm
high_C_mean_norm,444,7745,537,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12705,0.10695075495923233,10LPAW3,297.0,392.0,357.0,high_C_mean_norm
high_C_max_norm,446,7746,539,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.34214463840399,0.2575310100413467,09LPEW2,285.0,686.0,,high_C_max_norm
high_C_max_norm,464,7756,562,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2724795640326976,0.2575310100413467,09LPEW2,285.0,500.0,,high_C_max_norm
high_C_max_norm,534,7863,643,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1361043194784026,0.13424949728416466,12FDEW6,0.0,501.0,441.0,high_C_max_norm
high_C_max_norm,540,7868,650,side_impactor,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.18359621451104102,0.15611387289958717,03LPAW2,297.0,291.0,,high_C_max_norm
high_C_max_norm,554,7875,665,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2651434643995749,0.2575310100413467,09LPEW2,285.0,499.0,,high_C_max_norm
high_C_max_norm,590,7947,707,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13534675615212527,0.13424949728416466,12FDEWX,0.0,605.0,573.0,high_C_max_norm
high_C_mean_norm,590,7947,707,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12181208053691275,0.11883924757349121,12FDEWX,0.0,605.0,573.0,high_C_mean_norm
high_C_max_norm,609,7952,727,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.26601520086862107,0.2575310100413467,09LPEW2,285.0,490.0,,high_C_max_norm
high_C_max_norm,632,7977,756,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.14094650205761317,0.13424949728416466,12FDEWX,0.0,685.0,407.0,high_C_max_norm
high_C_max_norm,643,7987,771,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.26843657817109146,0.2575310100413467,10LPAW3,285.0,546.0,481.0,high_C_max_norm
high_C_max_norm,670,8026,802,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.17547723935389134,0.13424949728416466,12FDEW3,0.0,1195.0,1195.0,high_C_max_norm
