test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
366,7621,444,side,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,345.0,507.0,,flag_lencnt_out_of_range
366,7621,444,side,subject_vehicle,C_MaxOnly,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,345.0,507.0,,flag_pdof_family_mismatch
366,7621,444,side,subject_vehicle,C_MaxOnly,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,,345.0,507.0,,flag_side_imppnt_mismatch
375,7629,453,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
375,7629,453,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
344,7631,417,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
347,7632,420,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
335,7633,405,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
381,7636,460,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
381,7636,460,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
385,7637,465,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
385,7637,465,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
390,7639,471,side,subject_vehicle,B_ProfilePartial,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,09LPAW3,0.0,448.0,7.0,flag_pdof_family_mismatch
390,7639,471,side,subject_vehicle,B_ProfilePartial,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,09LPAW3,0.0,448.0,7.0,flag_side_imppnt_mismatch
391,7640,472,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
391,7640,472,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
387,7642,468,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
388,7643,469,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
392,7644,474,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
393,7645,475,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
15,7646,20,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
15,7646,20,side_impactor,impactor_vehicle,X_Exclude,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,,,,,not_subject_vehicle
395,7648,477,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
395,7648,477,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
408,7650,491,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
408,7650,491,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
408,7650,491,side_impactor,impactor_vehicle,X_Exclude,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,,,,,not_subject_vehicle
137,7656,161,research_other,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
146,7657,171,research_other,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
