impact_family,total_tests,total_vehicle_rows,n_subject_rows,subject_vehicle_rows,excluded_impactor_rows,unknown_role_rows,n_profile_valid,profile_valid_rows,profile_partial_rows,n_max_only,max_only_rows,delta_only_rows,n_excluded,excluded_rows,DPD_present_rate,DPD_nonzero_rate,LENCNT_valid_rate,DAMDST_valid_rate,CRHDST_valid_rate,VDI_usable_rate,PDOF_valid_rate,AXBX_present_rate,AXBX_nonzero_delta_rate,CRHDST_n_valid,CRHDST_mean,CRHDST_std,CRHDST_min,CRHDST_p05,CRHDST_p25,CRHDST_p50,CRHDST_p75,CRHDST_p95,CRHDST_max,CRHDST_iqr,C_profile_max_mm_n_valid,C_profile_max_mm_mean,C_profile_max_mm_std,C_profile_max_mm_min,C_profile_max_mm_p05,C_profile_max_mm_p25,C_profile_max_mm_p50,C_profile_max_mm_p75,C_profile_max_mm_p95,C_profile_max_mm_max,C_profile_max_mm_iqr,C_mean_mm_n_valid,C_mean_mm_mean,C_mean_mm_std,C_mean_mm_min,C_mean_mm_p05,C_mean_mm_p25,C_mean_mm_p50,C_mean_mm_p75,C_mean_mm_p95,C_mean_mm_max,C_mean_mm_iqr,C_rms_mm_n_valid,C_rms_mm_mean,C_rms_mm_std,C_rms_mm_min,C_rms_mm_p05,C_rms_mm_p25,C_rms_mm_p50,C_rms_mm_p75,C_rms_mm_p95,C_rms_mm_max,C_rms_mm_iqr,A_crush_2d_mm2_n_valid,A_crush_2d_mm2_mean,A_crush_2d_mm2_std,A_crush_2d_mm2_min,A_crush_2d_mm2_p05,A_crush_2d_mm2_p25,A_crush_2d_mm2_p50,A_crush_2d_mm2_p75,A_crush_2d_mm2_p95,A_crush_2d_mm2_max,A_crush_2d_mm2_iqr,C_mean_norm_n_valid,C_mean_norm_mean,C_mean_norm_std,C_mean_norm_min,C_mean_norm_p05,C_mean_norm_p25,C_mean_norm_p50,C_mean_norm_p75,C_mean_norm_p95,C_mean_norm_max,C_mean_norm_iqr,C_max_norm_n_valid,C_max_norm_mean,C_max_norm_std,C_max_norm_min,C_max_norm_p05,C_max_norm_p25,C_max_norm_p50,C_max_norm_p75,C_max_norm_p95,C_max_norm_max,C_max_norm_iqr,A_crush_norm_n_valid,A_crush_norm_mean,A_crush_norm_std,A_crush_norm_min,A_crush_norm_p05,A_crush_norm_p25,A_crush_norm_p50,A_crush_norm_p75,A_crush_norm_p95,A_crush_norm_max,A_crush_norm_iqr,asymmetry_n_valid,asymmetry_mean,asymmetry_std,asymmetry_min,asymmetry_p05,asymmetry_p25,asymmetry_p50,asymmetry_p75,asymmetry_p95,asymmetry_max,asymmetry_iqr,centroid_norm_n_valid,centroid_norm_mean,centroid_norm_std,centroid_norm_min,centroid_norm_p05,centroid_norm_p25,centroid_norm_p50,centroid_norm_p75,centroid_norm_p95,centroid_norm_max,centroid_norm_iqr,L_norm_n_valid,L_norm_mean,L_norm_std,L_norm_min,L_norm_p05,L_norm_p25,L_norm_p50,L_norm_p75,L_norm_p95,L_norm_max,L_norm_iqr,D_offset_norm_n_valid,D_offset_norm_mean,D_offset_norm_std,D_offset_norm_min,D_offset_norm_p05,D_offset_norm_p25,D_offset_norm_p50,D_offset_norm_p75,D_offset_norm_p95,D_offset_norm_max,D_offset_norm_iqr,C_mean_norm_ab_median,C_mean_norm_abc_median,C_mean_norm_median,C_max_norm_median,A_crush_norm_median,quality_comment
frontal_barrier,674,674,674,674,0,0,635,635,35,0,0,2,2,2,1.0,0.9970326409495549,0.9599406528189911,0.8813056379821959,0.9940652818991098,0.9910979228486647,0.9896142433234422,1.0,0.9940652818991098,670,481.96417910447764,195.8913518621418,1.0,243.45,409.0,480.0,547.75,666.55,4333.0,138.75,670,463.92388059701494,121.92808975014843,1.0,242.45,401.25,471.0,537.0,650.0,1195.0,135.75,670,411.6458208955224,117.8573673907524,0.2,200.365,346.775,416.45,488.025,584.56,1137.7,141.25,670,416.86588625874475,116.58351206145662,0.4472135954999579,205.60326376579718,353.42711136737154,419.6704655442378,492.45245653326043,587.9139370879777,1138.731443317519,139.0253451658889,646,590280.9275541796,212187.74337159007,266.0,255676.55,477543.75,573738.6,689955.8999999999,933427.05,1765418.4,212412.1499999999,670,0.08486967117838407,0.022622568001449326,3.665017408832692e-05,0.04228353562218717,0.07331951222462098,0.08727981015095837,0.0997328541250227,0.11883924757349121,0.1670631424375918,0.02641334190040172,670,0.0993688818483083,0.03999777960933511,0.0001832508704416346,0.053719060637550956,0.08605457503673664,0.10078093393842241,0.1127756956427955,0.13424949728416466,0.9330318690783808,0.02672112060605887,646,0.06566988427647455,0.028183595335784642,2.352544958372336e-05,0.030412236067544403,0.05423945262773156,0.0657682841929353,0.07607022785685867,0.09395120886395067,0.6038479441427463,0.02183077522912711,670,-0.0004118122735061905,0.10740787812985977,-0.9506289308176101,-0.07648433315913486,-0.015089531659411265,0.0005676894883595619,0.020921369912616034,0.08198262572925813,1.5752608047690018,0.0360109015720273,670,-0.0008528547342015281,0.05422540155413823,-0.6113207547169814,-0.03910206382120632,-0.008177148657540292,2.004507330089459e-05,0.011119976751817296,0.0368196201557665,0.6945863188708424,0.019297125409357588,670,0.7493193149881123,0.27678014853992,0.0,0.5634724507890339,0.6903056971582617,0.7629071999541587,0.8240735421720495,0.9238519058209984,6.1,0.1337678450137878,590,188.68193428802934,4584.562459480075,-1.428,-0.644640013187259,0.0,0.0,0.0,0.0016471551765668937,111358.57349665924,0.0,0.08727981015095837,0.08727981015095837,0.08727981015095837,0.10078093393842241,0.0657682841929353,sufficient profile sample for family-level descriptive comparison
side,613,633,625,625,8,0,332,332,145,148,148,0,0,0,1.0,0.7632,0.9328,1.0,1.0,0.8832,1.0,1.0,0.5744,625,343.36,84.26963744357629,102.0,194.0,300.0,343.0,389.0,472.39999999999986,699.0,89.0,477,305.35639412997904,107.18200390027997,7.0,129.6,260.0,314.0,354.0,433.59999999999997,1422.0,94.0,477,130.24570230607966,73.97209619954602,-142.6,39.2,91.6,120.7,168.0,244.23999999999998,735.6000000000001,76.4,477,176.800760596279,64.86235315889755,40.34228550788862,86.09009033813956,139.77267257944237,170.1090826499279,207.66463348389394,276.95999067500077,850.3066505678996,67.89196090445157,474,235104.2658227848,132982.16002412376,-270940.0,82368.0,179080.0,222607.5,280380.75,457500.74999999994,1035724.8000000002,101300.75,477,0.06984961355921143,0.039395574855400566,-0.08116107000569152,0.020308953628847513,0.048734177215189876,0.06544554455445543,0.0916374269005848,0.12762569666304482,0.40821309655937854,0.04290324968539492,621,0.18570027670094907,0.044036756448816,0.047708138447146865,0.10104166666666667,0.16426666666666667,0.18736842105263157,0.2095505617977528,0.2575310100413467,0.34535573122529645,0.04528389513108613,474,0.02604005094579901,0.014480284447591885,-0.033684148757276954,0.009473115550422682,0.02016082807864681,0.025475396273859138,0.03148721035212878,0.05000276822181594,0.11802136344057597,0.011326382273481969,477,-0.010273460158614198,0.6093859522391482,-5.075,-0.571933657932316,-0.3706109550561798,-0.2084375,0.468613775065388,0.7751526940676087,4.291208791208791,0.8392247301215678,477,0.01702595564672216,0.15624249813036467,-1.5851002865329513,-0.10489076044435582,-0.04969133096729494,-0.022627445760681486,0.09544481767496624,0.20338074136663606,1.2871292680784092,0.14513614864226118,477,0.41700796104354976,0.15534595993025352,-0.12165450121654502,0.19662143024948459,0.24903435657653994,0.4744958481613286,0.53414327607876,0.6339817248032438,0.8033419023136247,0.28510891950222006,477,0.024375419491427394,0.1270294520459464,-0.36400268636668903,-0.1706087710901041,-0.05274725274725275,0.03194103194103194,0.09766022380467955,0.18720967300117097,0.725644386194845,0.1504074765519323,0.06544554455445543,0.0545273631840796,0.06544554455445543,0.18736842105263157,0.025475396273859138,sufficient profile sample for family-level descriptive comparison
side_impactor,604,1207,603,603,604,0,544,544,0,58,58,0,1,1,1.0,0.9021558872305141,0.9933665008291874,1.0,0.9983416252072969,0.9303482587064676,1.0,1.0,0.5903814262023217,602,212.04152823920265,50.24078398768479,76.0,136.0,179.25,207.0,238.0,296.0,446.0,58.75,544,203.54595588235293,94.11087120720573,50.0,128.15,169.75,198.0,229.0,284.10000000000014,2075.0,59.25,544,130.3829044117647,52.866357985491554,31.5,71.49000000000001,102.95,125.9,149.82500000000002,201.96500000000003,932.5,46.875000000000014,544,150.22966059554307,58.56542198324893,38.440863673960294,90.09101000205926,123.16926050822076,146.1659440212154,169.20571794199682,217.9654811935815,1157.3532304357213,46.036457433776064,544,323589.80294117646,127935.83275945169,67050.0,191974.5,252388.5,310695.0,372960.0,500334.0000000001,2130762.5,120571.5,544,0.07044897520543374,0.028760530197227456,0.016112531969309462,0.038701567903253464,0.05590735738121723,0.06742992448282725,0.08220928112925341,0.10695075495923233,0.5095628415300546,0.02630192374803618,602,0.11478514953189525,0.026728115696579454,0.03740157480314961,0.07316564148634691,0.09725294985250738,0.11250458955625861,0.131301510989011,0.15611387289958717,0.24531722054380664,0.03404856113650362,544,0.03657940609577837,0.014801292637674754,0.006852254959070423,0.020364684049900127,0.028054215242471273,0.03480254481124571,0.0425930116324372,0.05886230882934,0.23786539180718588,0.014538796389965927,544,0.008497432967684468,0.18070241758820607,-0.6126005361930295,-0.2641519376637941,-0.09651731738645514,-0.00572558675939943,0.11240791274348322,0.2768739909155491,1.3322091062394603,0.20892523012993836,544,0.004397685269459975,0.06750147288253619,-0.22714636636575922,-0.10279242344110906,-0.02843661824006849,-0.0016185915832011742,0.040115680561166926,0.10625249692690467,0.6139734664540717,0.06855229880123542,544,0.5308109494938879,0.11262718311920743,0.09770114942528736,0.3731625735632179,0.42687928009236475,0.5436206291917794,0.6211349347744859,0.7045906594163243,0.8458646616541353,0.19425565468212114,544,-0.05846112031532912,0.11950820214993445,-0.4960172228202368,-0.2052671624138618,-0.1363556887399592,-0.07672674002774271,-0.0005725190839694657,0.13806672683814042,0.5965532479010164,0.13578316965598974,0.06742992448282725,0.06446052697329441,0.06742992448282725,0.11250458955625861,0.03480254481124571,sufficient profile sample for family-level descriptive comparison
rear,33,50,42,42,8,0,7,7,7,0,0,0,28,28,0.9761904761904762,0.3333333333333333,0.35714285714285715,0.7857142857142857,0.5714285714285714,0.3333333333333333,0.7857142857142857,1.0,0.35714285714285715,14,245.21428571428572,173.92844619441755,41.0,49.45,86.0,249.0,374.5,510.75,527.0,288.5,14,242.42857142857142,172.69702874185108,37.0,48.05,86.0,249.0,365.75,510.75,527.0,279.75,14,179.9142857142857,146.18594511597394,12.100000000000001,17.755000000000003,43.150000000000006,177.45,297.02500000000003,371.99499999999995,427.69999999999993,253.87500000000003,14,190.68197883259057,144.67080968631583,24.496938584239462,26.72744056138344,60.5129878658783,193.88278257679497,303.5746577126027,381.2323684366552,436.05836765277195,243.06166984672439,14,271949.14285714284,221633.60062833334,18440.4,27058.62,65760.6,270433.8,452666.10000000003,566920.3799999999,651814.7999999999,386905.5,14,0.046292662417972065,0.044979994495234904,0.002872062663185379,0.0036032234693938988,0.009191810536372927,0.04018560907585797,0.06652932905309986,0.11618570213639492,0.15446194225721782,0.05733751851672693,14,0.06186016154056414,0.05341931327606269,0.007878554957724828,0.009621933559320433,0.016544229287946792,0.05331862511662423,0.08574124177372022,0.14429682986554052,0.19356955380577429,0.06919701248577342,13,0.03767183628951152,0.03932849242911921,0.0024115831948730124,0.002924305462472144,0.007387995669880146,0.018847527088701917,0.05640270653931951,0.10057441229667576,0.13005524861878454,0.049014710869439364,14,0.03869370377702427,0.37460207201888707,-0.7851239669421487,-0.44979338842975203,-0.15437400071759672,-0.008108265447886058,0.17979349626796823,0.6238855929557234,0.6705756929637526,0.3341674969855649,13,0.03014512216238128,0.20476644536454802,-0.35946178539717233,-0.21167170116649936,-0.0958512976385317,0.014590314154027118,0.10773452498861702,0.3524169597938964,0.3645403074345319,0.20358582262714872,13,0.8263110865479192,0.026121772793014607,0.7507389162561576,0.7892795237217144,0.8180354267310789,0.8373626373626374,0.8419889502762431,0.8476100278551533,0.849025069637883,0.023953523545164224,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04018560907585797,0.04018560907585797,0.04018560907585797,0.05331862511662423,0.018847527088701917,limited rear subset; interpret descriptively after rear_low_confidence filter
